Medication,Code_Type,Code,include_james,include_dorsa,include_consensus,include_james 2,Unnamed: 7,include_final
"Doxycycline Hyclate 100 mg Tablet,Delayed Release",EPIC-MED,42106,1,1,True,,,1
Pramoxine 1 % Lotion,EPIC-MED,11099,0,0,True,,,0
Aminolevulinic Acid Hcl 20 % Topical Solution,EPIC-MED,29588,0,0,True,,,0
Hydrocortisone-Pramoxine 1 %-1 % Rectal Cream,EPIC-MED,28847,0,0,True,,,0
Aminocaproic acid 250 mg/ml topical solution MGH,EPIC-MED,701616,0,0,True,,,0
Doxycycline Hyclate Oral,EPIC-MED,135124,1,1,True,,,1
Azithromycin  IVPB 500 mg (250 ml) Adv,EPIC-MED,4004081149,0,0,True,,,0
Cephalexin 250 mg/5 ml Oral Suspension,EPIC-MED,9502,1,1,True,,,1
Doxycycline Monohydrate Oral,EPIC-MED,135126,1,1,True,,,1
Amoxicillin 400 mg/5 ml Oral Suspension,EPIC-MED,25246,1,1,True,,,1
Acetaminophen (10 Mg/Ml) Ivpb,EPIC-MED,709118,0,0,True,,,0
Amoxicillin 250 mg Chewable Tablet,EPIC-MED,452,1,1,True,,,1
Acetaminophen/hydrocod 325 mg,MGH_CC,1713,0,0,True,,,0
Doxycycline (rosacea) monohydrate sr - LMR 7061,LMR,7061,1,1,True,,,1
Amoxicillin extended release - LMR 6388,LMR,6388,1,1,True,,,1
Acetaminophen - LMR 5,LMR,5,0,0,True,,,0
Tramadol hcl + acetaminophen (ultracet) - LMR 3954,LMR,3954,0,0,True,,,0
Trimethoprim sulfamethoxazole single strength (bactrim ss) - LMR 1272,LMR,1272,1,1,True,,,1
Acetaminophen extra strength (tylenol extra strength) - LMR 7,LMR,7,0,0,True,,,0
Colace liquid (ceruminolytic) (docusate sodium liquid (ceruminolytic)) - LMR 5317,LMR,5317,0,0,True,,,0
Pramoxine + hydrocortisone 1% - LMR 2420,LMR,2420,0,0,True,,,0
Amoxicillin/clavulanic acid er 1000 mg/62.5mg - LMR 4157,LMR,4157,0,0,True,,,0
Percocet 10 mg/325mg (oxycodone 10 mg/acetaminophen 325 mg) - LMR 5220,LMR,5220,0,0,True,,,0
Zithromax z pak-oncall,ONCALL,DSBB2-3,1,1,True,,,1
Amoxicillin and clavulanic acid-oncall,ONCALL,DSGL3,0,0,True,,,0
Acetaminophen extra strength (tylenol extra strength) - LMR 7,PAML-LMR,7,0,0,True,,,0
Tramadol hcl + acetaminophen (ultracet) - LMR 3954,PAML-LMR,3954,0,0,True,,,0
Amoxicillin/clav.acid 875/125 (augmentin 875/125)- lmr 2713,PAML-LMR,2713,0,0,True,,,0
Amoxicillin 250mg capsule,BWH_CC,907767,1,1,True,,,1
Sulfamethoxazole-trimethoprim 400mg-80mg tablet,BWH_CC,907764,1,1,True,,,1
Doxycycline hyclate 100mg powder for injection,BWH_CC,907691,0,0,True,,,0
"Doxycycline Monohydrate 40 mg Capsule,Immediate & Delay Release",EPIC-MED,76670,1,1,True,,,1
Aminocaproic Acid Infusion Syringe 12.5 G/50 ml (250 mg/ml) (Central),EPIC-MED,700772,0,0,True,,,0
Trimethobenzamide 100 mg/ml Intramuscular Solution,EPIC-MED,8178,0,0,True,,,0
Acetaminophen 300 mg-Codeine 15 mg Tablet,EPIC-MED,19474,0,0,True,,,0
Hydrocortisone-Pramoxine 1 %-1 % Rectal Foam,EPIC-MED,28849,0,0,True,,,0
Doxycycline Hyclate (Bulk) Misc,EPIC-MED,135122,1,1,True,,,1
Acetaminophen-codeine phosphate 300mg-30mg tablet,MGH_CC,700420,0,0,True,,,0
Acetaminophen susp,MGH_CC,703620,0,0,True,,,0
Amoxicillin 250mg capsule,MGH_CC,706150,1,1,True,,,1
Acetaminophen drops,MGH_CC,703610,0,0,True,,,0
Acetaminophen/cod #3 tablet,MGH_CC,4200,0,0,True,,,0
Doxycycline hyclate 100mg powder for injection,MGH_CC,735060,0,0,True,,,0
Doxycycline monohydrate - LMR 5945,LMR,5945,1,1,True,,,1
Trimethoprim sulfamethoxazole combination-oncall,ONCALL,DSPJ1,1,1,True,,,1
Minocycline 50 mg Tablet,EPIC-MED,5113,1,1,True,,,1
Acetaminophen-Caffeine 500 mg-65 mg Tablet,EPIC-MED,116224,0,0,True,,,0
Minoxidil 2 % Topical Solution,EPIC-MED,10613,0,0,True,,,0
Azithromycin 200 mg/5 ml Oral Suspension,EPIC-MED,15797,1,1,True,,,1
Amoxicillin 250 mg/5 ml Oral Suspension,EPIC-MED,454,1,1,True,,,1
Acetaminophen 160 mg/5 ml Oral Liquid,EPIC-MED,100,0,0,True,,,0
Acetaminophen 160 mg/5 ml (5 ml) Oral Suspension,EPIC-MED,8943,0,0,True,,,0
Magnesium Amino Acid Chelate 27 mg Tablet,EPIC-MED,122963,0,0,True,,,0
Amoxicillin 125 mg/5 ml Oral Suspension,EPIC-MED,453,1,1,True,,,1
"Doxylamine-Pyridoxine 10 mg-10 mg Tablet,Delayed Release",EPIC-MED,159710,0,0,True,,,0
Doxycycline Monohydrate 50 mg Tablet,EPIC-MED,30842,1,1,True,,,1
Acetaminophen 120 mg/1.2ml oral,MGH_CC,1343,0,0,True,,,0
Childrens tylenol 160 mg/5ml oral liquid (acetaminophen 160 mg/5ml oral liquid) - LMR 4827,LMR,4827,0,0,True,,,0
Propoxyphene nap/acetaminophen 50/325 - LMR 4203,LMR,4203,0,0,True,,,0
Acetaminophen w/codeine 12 mg/5 mls - LMR 2407,LMR,2407,0,0,True,,,0
Augmentin 400 mg/57mg (5 ml) (amoxicillin/clav. susp 400 mg/57mg (5 ml)) - LMR 4862,LMR,4862,0,0,True,,,0
Doxycycline calcium syrup - LMR 6872,LMR,6872,1,1,True,,,1
Acetaminophen 160mg 5ml sol,MGH_CC,208,0,0,True,,,0
Bactrim - LMR 771,PAML-LMR,771,1,1,True,,,1
Zithromax 250mg tablet,BWH_CC,908026,1,1,True,,,1
Doxycycline Hyclate 100 mg Intravenous Powder For Solution,EPIC-MED,2622,0,0,True,,,0
Butalbital-Acetaminophen 50 mg-325 mg Tablet,EPIC-MED,8955,0,0,True,,,0
Trimethoprim 100 mg Tablet,EPIC-MED,8182,1,1,True,,,1
Azithromycin 100 mg/5 ml Oral Suspension,EPIC-MED,15796,1,1,True,,,1
Tramadol 37.5 mg-Acetaminophen 325 mg Tablet,EPIC-MED,31288,0,0,True,,,0
Doxycycline  IVPB 100 ml,EPIC-MED,4004082347,0,0,True,,,0
Amoxicillin 250 mg-Potassium Clavulanate 62.5 mg/5 ml Oral Suspension,EPIC-MED,9080,0,0,True,,,0
Doxycycline  IVPB 100 mg (100 ml) Mbp,EPIC-MED,4004081178,0,0,True,,,0
Zithromax suspension (azithromycin suspension) - LMR 4892,LMR,4892,1,1,True,,,1
Tetracaine hydrochloride ophthalmic 0.5% solution,BWH_CC,900632,0,0,True,,,0
